DT_REFER,RCT/CP,RCT/PT
2017Q1,0.6865470104362306,0.5524827228499934
2017Q2,1.2093885795340926,0.5236985695645912
2017Q3,1.4260666993478606,0.5533929578387331
2017Q4,2.110572035282838,0.5517358823439547
2018Q1,5.3251959633727175,0.5424892338668238
2018Q2,1.5829769793341542,0.5251427413427484
2018Q3,1.6347761371849994,0.524912027592253
2018Q4,1.2600657963220787,0.5202218588989961
2019Q1,1.4671230551075047,0.5664259894115037
2019Q2,1.2096506689181417,0.4739954578709581
2019Q3,0.8574403864681336,0.3917923315377193
2019Q4,0.8626264434181082,0.38438898234937224
2020Q1,0.7265780430383513,0.37048925284546874
2020Q2,1.1160634049275877,0.5011343448375388
2020Q3,1.0333999523027821,0.4808133893350705
2020Q4,1.0781595881185881,0.495367140896117
2021Q1,1.1116334109460961,0.5118820411349435
2021Q2,1.608693408270591,0.5988659839709793
2021Q3,1.25761882631349,0.5406821778862783
2021Q4,1.309150309183862,0.546680762800032
