Rentabilidade,Teste,Estatística,Valor p
ROA,Teste t,2.531375280778657,0.014620328654084495
ROA,Teste H,6.26247700201029,0.01233216613680699
ROE,Teste t,4.793755924768057,1.5632782270116264e-05
ROE,Teste H,17.339142687398365,3.1267952250512496e-05
