DT_REFER,ROA,ROE
2017Q1,,
2017Q2,0.021358660667456793,-0.0457629771118231
2017Q3,0.044493492423228316,0.09853543275626846
2017Q4,0.05525062729730318,0.10335316314067154
2018Q1,0.008816322490810593,0.00478025150966436
2018Q2,0.018984115289158165,0.0011723744239683347
2018Q3,0.038449872371454606,0.02076566786977499
2018Q4,0.08145508767370795,0.09437196309649634
2019Q1,0.003995620427895597,-0.0037448236114580548
2019Q2,0.020411753505660185,0.02596438787573724
2019Q3,0.030191119278831505,0.07424270752485833
2019Q4,0.06715904841014479,0.1903742877999
2020Q1,-0.010416100190982715,-0.059964404874900026
2020Q2,-0.01720022666277844,-0.1283883899606775
2020Q3,-0.01605962162188276,-0.20233695374208346
2020Q4,0.043778148852110704,0.11087689881543322
2021Q1,-0.003201734850638749,-0.010925955967181064
2021Q2,0.03325199183165657,0.042595574648412474
2021Q3,0.05258849552201291,0.10314167987322623
2021Q4,0.0835537224682877,0.16492239938945855
