Setor Econômico,Variação Percentual LG
Comunicações,0.21798607867394182
Bens Industriais,0.19323648161293727
Utilidade Pública,0.09631285143795898
Materiais Básicos,0.06142868998092199
Consumo não Cíclico,-0.001674224828152493
Financeiro,-0.014833130358939739
Consumo Cíclico,-0.027214952739324727
Tecnologia da Informação,-0.034145979359653356
Saúde,-0.15898467725998267
Petróleo. Gás e Biocombustíveis,-0.16336806098097145
