Endividamento,Teste,Estatística,Valor p
RCT/CP,Teste t,-0.6273302391127559,0.5405398621718976
RCT/CP,Teste H,0.09926470588235503,0.75271380626305
RCT/PT,Teste t,-0.4599898051343682,0.6525861652597424
RCT/PT,Teste H,0.09926470588235503,0.75271380626305
