DT_REFER,ROA,ROE
2017Q1,,
2017Q2,-0.00011723542664120191,0.04229611673721661
2017Q3,0.00461454591677532,0.04668101763890115
2017Q4,0.04552391271836096,0.05422322182086894
2018Q1,0.004842629477546115,0.016680647044267347
2018Q2,0.00814687782893417,0.025012779047504576
2018Q3,0.009961437553719968,-0.11403154716593827
2018Q4,0.019345461296251462,0.25783568897197096
2019Q1,0.0012787016882373269,0.019503294559403413
2019Q2,0.0024753182776664565,-0.025914795914445888
2019Q3,0.0007813504302254069,0.1357680907859259
2019Q4,-0.0013724107901765448,0.07209039520606138
2020Q1,-0.00931489045484088,-0.04463811532167658
2020Q2,-0.01921794958967385,0.06365087244528761
2020Q3,-0.02380090013974917,0.07810454281557894
2020Q4,-0.01538005619222199,0.13180849925983196
2021Q1,-0.0037294938131950273,0.0057240925068223055
2021Q2,-0.007143600163661471,0.011920993422497233
2021Q3,-0.0034381046238312163,0.028712380751580436
2021Q4,0.006726093618321315,0.08072617672347346
