,ROA,ROE
mean,0.033323583053330594,0.0759156376272267
std,0.018080623054000246,0.0473345695237157
min,0.010899588289874834,0.02098808054595356
25%,0.02097576080183111,0.041550290582530756
50%,0.030865737709348827,0.06284639815175372
75%,0.046915390647666574,0.11248049244292528
max,0.06181937914771952,0.15099224167899178
