,Corrente,Seca,Imediata,Geral
mean,1.9084346407649437,1.617960783924168,1.0573023504225505,1.0990771634110423
std,0.24390567185287537,0.22525131969385476,0.20922521804674762,0.06487437691603129
min,1.4775691255752867,1.264374395768801,0.7061688203035836,0.979235270137962
25%,1.7993038614723837,1.4920017419769291,0.9235940483008845,1.0840675735826246
50%,1.957856834446153,1.6678121153453578,1.0802264034605367,1.1123572763016405
75%,2.067310673010866,1.7738878667601985,1.2227115528094499,1.1473087436885698
max,2.181148240568015,1.87972080573996,1.2891603618582634,1.1613904637991876
