,ROA,ROE
mean,0.031067892213458837,0.04297165266877484
std,0.008700655592887468,0.01647815913970745
min,0.016998396036860895,0.014875704833812033
25%,0.024130635994472925,0.031063834088716727
50%,0.03075494211437369,0.0446676501584373
75%,0.036791907498775686,0.054097884833487986
max,0.054310446657317143,0.08089902581607589
