,RCT/CP,RCT/PT
mean,1.4657687729624598,0.5586348437875197
std,0.058505077895816306,0.009679263263128143
min,1.3024910350435388,0.5402661589644613
25%,1.4259458784647254,0.5508253467724912
50%,1.4593582192939176,0.5582776364718915
75%,1.5112720639010724,0.564290113869697
max,1.5826129902538417,0.5824412517058692
