,Corrente,Seca,Imediata,Geral
mean,1.4617666767559707,1.0350184511796288,0.5154015250035753,0.9480385375139968
std,0.01030819865128113,0.012599381144070387,0.017387556837149737,0.007881981230160434
min,1.433660367624243,0.9960836746249215,0.4611957922419585,0.9258119191871972
25%,1.4548664129156599,1.0265796121356994,0.5037910054220245,0.942595086148237
50%,1.4615832682989147,1.0353428119843961,0.5150396881899286,0.948164561437372
75%,1.4684867966165007,1.0436834205997014,0.5267972489709652,0.9531212148658542
max,1.4950861630354728,1.0730327548328389,0.5788317587384524,0.9757076587114446
