,ROA,ROE
mean,-0.009412362669856537,0.04450118032542442
std,0.00980077420040766,0.05502070561063981
min,-0.02380090013974917,-0.04463811532167658
25%,-0.016339529541584956,0.0103717681935785
50%,-0.008229245309251175,0.04618162659843402
75%,-0.0036566465158540747,0.07875995129255256
max,0.006726093618321315,0.13180849925983196
