Endividamento,Teste,Estatística,Valor p
RCT/CP,Teste t,-15.648152325726983,1.6135880522102714e-28
RCT/CP,Teste H,117.74659678465765,1.9701717606035797e-27
RCT/PT,Teste t,15.180643385128397,1.3553090787447476e-27
RCT/PT,Teste H,102.47455296156821,4.3694448824236344e-24
