Liquidez,Teste,Estatística,Valor p
Corrente,Teste t,-32.169486487279386,1.443771372248566e-80
Corrente,Teste H,147.9438507399199,4.8798344560225515e-34
Seca,Teste t,-27.96219547897387,1.1093598703442054e-70
Seca,Teste H,143.0977501529287,5.5957506921168367e-33
Imediata,Teste t,-35.904061197664554,1.2356146546919846e-88
Imediata,Teste H,148.8999372911647,3.0158725066664817e-34
Geral,Teste t,-40.20341936261883,3.4291459018762705e-97
Geral,Teste H,149.44409941182596,2.2933367331790577e-34
