,ROA,ROE
mean,0.03050335627491771,0.05048374142793801
std,0.01201089008696734,0.030624923440296502
min,0.0052007959436243464,0.0036120987677068037
25%,0.024134634046637234,0.024797593133891654
50%,0.03154364930297785,0.047344195890947204
75%,0.0379389737139022,0.06994318856833205
max,0.05868932494578892,0.1423731254481982
