,Corrente,Seca,Imediata,Geral
mean,1.5190835037824915,1.2915749694293233,0.592732751540168,0.9210891389487048
std,0.09902661960587045,0.08629129477528598,0.10256460975484975,0.04971824514047658
min,1.4176509923720706,1.2048444271788117,0.487298187322549,0.8688782598459303
25%,1.454081542445132,1.2452672048727769,0.54743543903355,0.8741872792649166
50%,1.512399657080917,1.2621632065126762,0.5500096142889286,0.9257068603825588
75%,1.5473137521534874,1.2937802076920313,0.6701515987073928,0.9505217551837439
max,1.741079082117112,1.4860743139896606,0.7826660668868528,0.9976471070245456
