,RCT/CP,RCT/PT
mean,1.6500500979814132,0.49657042055754236
std,0.07733591113118754,0.006363832279143478
min,1.5608752652214053,0.48919528363873765
25%,1.6096101456468206,0.49298067728693773
50%,1.617394088105207,0.4950663453924525
75%,1.6779189133904764,0.49910718729784587
max,1.7699355279802966,0.5067024178440078
