DT_REFER,Corrente,Seca,Imediata,Geral
2017Q1,2.7011266700858005,2.452486057278054,1.749879079820791,1.5347556491960348
2017Q2,2.6361550511497955,2.419867088642429,1.7249466327769742,1.5601740929492498
2017Q3,2.9869479139980486,2.7403320360334247,1.837681743887653,1.7870823079816132
2017Q4,2.809160389134941,2.5775604944314225,1.6608429184034654,1.7415954897430288
2018Q1,3.1320271613437325,2.8368925229831765,1.9056315162438917,1.8613285816151814
2018Q2,2.431912913866259,2.2253429896029444,1.3333403155353767,1.5436813692823081
2018Q3,2.967454459277818,2.67106151897219,1.6574515846050935,1.8211145640054645
2018Q4,2.989711385426493,2.753852112411475,1.7866713868791106,1.7101733027001185
2019Q1,1.9833799795033975,1.73802151027826,0.9445421290500459,0.9722248275067532
2019Q2,2.1414980821648535,1.895220206156616,1.024174579206345,0.9970736858653985
2019Q3,2.053616090864321,1.8123868186459442,0.909409799701187,1.0029566825779297
2019Q4,2.084238120767998,1.8294491763978022,0.960207744201317,1.0545745044799653
2020Q1,2.109360241829912,1.8616752491911295,0.8371844607317618,1.0026867192512448
2020Q2,1.9529502286414802,1.738288660181204,0.8555018407100138,0.9715402193304972
2020Q3,1.8432352547291848,1.6375299352262431,0.8429530750768367,0.9769862634764837
2020Q4,1.8098889980097783,1.6164073812298785,0.8580304757166184,1.0309694663683295
2021Q1,2.176695719664804,1.9419947251350254,1.1837281826915724,1.1240610663182589
2021Q2,3.0426306839731727,2.7444454173500445,1.9112575273014716,1.215855330663187
2021Q3,3.081950256611062,2.791077609190267,1.904606124190361,1.235686700831275
2021Q4,3.071206655721908,2.8774436961107717,1.7957909466905535,1.3408652268991363
