,Corrente,Seca,Imediata,Geral
mean,1.7757269224848697,1.4899744755498971,0.6048378244379158,1.1469119260184952
std,0.01534495625105188,0.013143010920179542,0.020656310512326,0.03936207821301151
min,1.732390420732513,1.4431787833860774,0.539760829272641,1.020815178913613
25%,1.7655974965501224,1.4814577290959685,0.5904009133934367,1.1213377012309143
50%,1.7753728494350574,1.489864713762242,0.6046744201634262,1.147065508036778
75%,1.7863149544017776,1.4982871290166329,0.6175156464270213,1.1743903730651046
max,1.8217172593360789,1.5331053716605991,0.675811021252378,1.268984573924206
