,RCT/CP,RCT/PT
mean,1.1099988057699006,0.49305796356748827
std,0.09031149954216335,0.017466146136803404
min,0.865031564332044,0.44516170920627374
25%,1.0523502871340358,0.481714118640632
50%,1.1099014856825251,0.4925312671080996
75%,1.1742021355140613,0.5049510726649185
max,1.3380647941527815,0.5349950819265664
