,Corrente,Seca,Imediata,Geral
mean,1.014101664459694,0.8976494147987919,0.28154943391138054,0.8217722953840124
std,0.033480875400492494,0.031343803964093774,0.023332304777756725,0.013976872204317505
min,0.9203934932398472,0.8092931983479996,0.21694976095212107,0.7675796259367542
25%,0.9894307047185519,0.8762241724951697,0.2647823400594711,0.8131261096819219
50%,1.0135574966581187,0.8959303364531005,0.2805610686370854,0.8226074417902691
75%,1.0377191499484457,0.9169288324020455,0.2968662719863245,0.8320084356062725
max,1.114359725097934,1.0234973106996537,0.35565741351538527,0.8553355619874135
