,Corrente,Seca,Imediata,Geral
mean,2.194786781640363,2.0983494489735737,1.3529120697205508,1.6405089841213842
std,0.8745568393576092,0.892351843003864,0.9648372042064,0.5307586335355773
min,1.4165425936111253,1.3108463828359285,0.5464377005442431,1.096469291703279
25%,1.457750765813056,1.3417762286730357,0.5696765795850984,1.2217950995714575
50%,1.647199313419542,1.528307566318639,0.6226279757405607,1.2866618239621457
75%,3.112686718221685,3.035703523599148,2.354601809484776,2.2414194230951385
max,3.3721978715182446,3.291469736107551,2.684252456042228,2.3489277052074344
