Endividamento,Teste,Estatística,Valor p
RCT/CP,Teste t,-30.6022740147447,2.8735761336168605e-52
RCT/CP,Teste H,149.25406717333047,2.5235128500228185e-34
RCT/PT,Teste t,-35.67119945991103,2.5866536126443118e-58
RCT/PT,Teste H,149.25373134328356,2.523939423990366e-34
