,Corrente,Seca,Imediata,Geral
mean,1.4339028542914025,1.3635070778002218,0.6533003162091721,0.9935873145338334
std,0.09196814649628444,0.08669944942092646,0.10184244961159448,0.047542400261298016
min,1.2345837945778804,1.2134313991807608,0.37441785836076097,0.8767500447423116
25%,1.3664644047068037,1.2964875583344586,0.5758329635880821,0.9702723813064662
50%,1.438822599983411,1.3685189732699583,0.6602715558474409,0.9879707216816651
75%,1.4894162087656693,1.4131444641283522,0.7252566296910936,1.0186636225492411
max,1.6725555134548848,1.5733579702114733,0.874719033375355,1.1366621939463932
