,Corrente,Seca,Imediata,Geral
mean,1.6361003798518243,1.343689676048565,0.6719305675559697,0.9681483676795102
std,0.07336784857840606,0.07415776211313553,0.054831222397292455,0.025319514821302912
min,1.484994023921856,1.216728776183229,0.5637578454399089,0.9087067992635868
25%,1.5814359352860152,1.2876412263387254,0.6276489665050363,0.9509698895317644
50%,1.6336809732034165,1.3290014344680665,0.6727721551126646,0.9680269484741519
75%,1.6816741660309873,1.394870067110328,0.7046593432045227,0.9872940397629362
max,1.804349328529522,1.5221692401555373,0.8254882783253167,1.0235565579181987
