,ROA,ROE
mean,0.02215746393051281,0.00459162074952012
std,0.017986905509926744,0.058034624600447636
min,-0.01550419504482951,-0.13599706335300638
25%,0.010212725898564838,-0.027201222088149346
50%,0.023050251940352,0.016342502075704965
75%,0.033504994308355115,0.03270188180522512
max,0.06186485813855608,0.12052066448783605
