DT_REFER,ROA,ROE
2017Q1,,
2017Q2,0.016096068357904617,0.025690616476299253
2017Q3,0.029308872077135454,0.052130142683541485
2017Q4,0.04259836115877028,0.0896190220553274
2018Q1,0.010899588289874834,0.02098808054595356
2018Q2,0.024584279224818276,0.045001997900635124
2018Q3,0.03714719619387938,0.07419809979046904
2018Q4,0.04859786907502985,0.1252212390549116
2019Q1,0.013827160381503884,0.03119516862821766
2019Q2,0.023358627608606852,0.05149469651303839
2019Q3,0.04635456450521215,0.10823357690559651
2019Q4,0.06181937914771952,0.15099224167899178
2020Q1,0.015476685613032455,0.033203366970969476
2020Q2,0.02483686205793494,0.056361896348022626
2020Q3,0.03742340730102888,0.09241323431963182
2020Q4,0.06109220530529444,0.15920036454664235
2021Q1,0.013440993055352327,0.0298926487900453
2021Q2,0.025664873883141488,0.05804812529954114
2021Q3,0.03782966263628805,0.10981065606185132
2021Q4,0.05157548080165906,0.151243706568551
