Rentabilidade,Teste,Estatística,Valor p
ROA,Teste t,21.324180997261234,1.9146521694230374e-26
ROA,Teste H,73.07581340086172,1.2476411591252705e-17
ROE,Teste t,14.095617495414292,7.237967377535789e-19
ROE,Teste H,67.86816365229289,1.7480088005893907e-16
