,Corrente,Seca,Imediata,Geral
mean,1.817226978343411,1.778917881224031,1.311083866756468,0.912998731184586
std,0.09581296779321487,0.09919346689965304,0.09012134523593886,0.025832010045800054
min,1.5757068314316904,1.5434297695339616,1.1094885705408057,0.8503154152648776
25%,1.7649545659146786,1.701202294857265,1.248420238276036,0.8961569020170613
50%,1.8088740145295978,1.788743248434721,1.3065301493789914,0.9150850418958162
75%,1.877140739545514,1.8331105447205294,1.3671439262470935,0.9272823148973799
max,2.030466439066113,2.1619086673931047,1.576106358441644,0.9793140511527342
