,ROA,ROE
mean,0.045031886298431155,0.041902436067123384
std,0.008789952658991025,0.014939439680366404
min,0.026722307899508135,0.007085026823714019
25%,0.039232806367376125,0.032004809299256025
50%,0.044248866445289706,0.0460332731575641
75%,0.05138753676292938,0.05197294161566646
max,0.06544212890364144,0.06985411725834596
