,Corrente,Seca,Imediata,Geral
mean,1.0756747507664128,1.035588798248706,0.472423400360696,0.6746781780122875
std,0.10941425492621389,0.10599205657788217,0.079589098243729,0.041184157545662584
min,0.8573256415386943,0.8267989345189755,0.34940150525723523,0.608773959583304
25%,0.9938813229371763,0.9546009434391615,0.3949379096608733,0.6530988983518619
50%,1.1067027052107674,1.0596798208957132,0.4781486870259424,0.6692773614709743
75%,1.137173930890954,1.0974018130389094,0.522290719243114,0.707879409719105
max,1.2111128737143542,1.1613204693761459,0.5897104617461576,0.7300267015865631
