Endividamento,Teste,Estatística,Valor p
RCT/CP,Teste t,-10.098547672980262,1.4522992270327425e-13
RCT/CP,Teste H,52.199444794498305,5.014030962001402e-13
RCT/PT,Teste t,-10.270412279138254,8.240294269728798e-14
RCT/PT,Teste H,56.5708650332151,5.4209112939451005e-14
