,Corrente,Seca,Imediata,Geral
mean,2.1424946967989635,2.132162306800956,1.6130022728405862,0.8992979119525841
std,0.12410763750225862,0.12180890038021355,0.10893145099679415,0.016065562145321927
min,1.749301463783459,1.6042788314666308,1.3329006628143696,0.852678249835731
25%,2.055841739009925,2.050672071162322,1.5415610133973767,0.8879083937037705
50%,2.1456744560572387,2.1321293504142558,1.6106065704944932,0.8989453542829788
75%,2.2272051447921393,2.217525268794633,1.6833644417835911,0.9103801509233604
max,2.50376799373378,2.4751709228465053,2.0096748969320513,0.9452835937862627
