,RCT/CP,RCT/PT
mean,1.8425824585816577,0.6017262349514894
std,0.36517667415042165,0.06410836094106458
min,1.484721922962226,0.5306998198356897
25%,1.5149722860453192,0.5423133190691162
50%,1.752418460781361,0.6009524032533609
75%,2.200870279926172,0.6636507629596906
max,2.3120870619697937,0.6716226246938631
