Endividamento,Teste,Estatística,Valor p
RCT/CP,Teste t,-29.98549876787472,1.7758782476501772e-51
RCT/CP,Teste H,149.25417911701527,2.523370674297093e-34
RCT/PT,Teste t,-70.41176801413731,2.234868099496808e-86
RCT/PT,Teste H,149.25417911701527,2.523370674297093e-34
