,RCT/CP,RCT/PT
mean,0.7798228376996286,0.4369349928758484
std,0.01799120437844744,0.005998243678713156
min,0.7460383681514458,0.42816214936016694
25%,0.7694838865451309,0.4319094129802704
50%,0.78151333123123,0.43570295433866146
75%,0.7937471663609434,0.44102601921248535
max,0.8207645662323102,0.45430209618918427
