,Corrente,Seca,Imediata,Geral
mean,2.025734748488952,1.8958268642188403,1.1331728396938145,1.5397798616166836
std,0.5728169314080863,0.515238731842115,0.6564666265118279,0.36003266806532885
min,1.4407313817070504,1.3335631078378734,0.5678584120617709,1.2202465125371282
25%,1.519824119877245,1.453719334990895,0.612374358252699,1.2401322843618368
50%,1.9893538638307344,1.8830891995872991,1.0735274711976284,1.2866618239621457
75%,2.4588836077842235,2.2820055449588934,1.577378362810158,1.815153985240458
max,3.344284046917098,3.27730009621539,2.6410009729634223,2.2937747314135803
