,Corrente,Seca,Imediata,Geral
mean,2.3536748057204675,2.0510224416968628,1.1729054524089688,1.2597970742462468
std,0.28868404872254066,0.2635228515491766,0.23443236933008582,0.27335117363643374
min,2.053616090864321,1.8123868186459442,0.8732971302164744,0.9998802025583216
25%,2.109360241829912,1.8616752491911295,0.960207744201317,1.0287655935289475
50%,2.278671037931821,1.8784477276738727,1.1467740298683469,1.0545745044799653
75%,2.5411894663224497,2.2253429896029444,1.3333403155353767,1.5436813692823081
max,3.060869273385113,2.753852112411475,1.7866713868791106,1.8211145640054645
