,RCT/CP,RCT/PT
mean,2.1618376432352613,0.6484482957590546
std,0.10303406999914103,0.006158820382493566
min,1.9713645789614098,0.6341809869098134
25%,2.0896229767375445,0.6436795174482353
50%,2.1565711808429144,0.6488621725847851
75%,2.2174811760857898,0.6529586208555946
max,2.4859246753340343,0.65954953656789
