,Corrente,Seca,Imediata,Geral
mean,1.940916505868856,1.439406935637116,0.7864588850459958,1.440429020943401
std,0.03836813637656069,0.042490346500895414,0.04545860466818281,0.0298520712936109
min,1.8382671567646094,1.31688611529755,0.690661657692067,1.3660394621457401
25%,1.9096772032934584,1.403523319174885,0.745869788250537,1.415415516744908
50%,1.93832703733329,1.4349248775503294,0.7858760251417537,1.4382196043908109
75%,1.969966968163328,1.466860532089808,0.822311226507856,1.4699915009575077
max,2.027095370708342,1.5381706597181641,0.889627876113055,1.50217742150246
