,Corrente,Seca,Imediata,Geral
mean,1.800875760084106,1.7915794088423895,1.3061180097934895,0.9124802934253202
std,0.30119661988830315,0.29847594737320243,0.2644371299789608,0.07003014821850072
min,1.308006129337696,1.3036372052340852,0.8874124960134213,0.802901280530331
25%,1.6723793361361632,1.6621859152804301,1.2000340594073828,0.8662247940602881
50%,1.7318731465386994,1.7185122992656656,1.2412702188525804,0.8995932068111313
75%,1.9645242172523665,1.9547669325065777,1.4379485579652809,0.9398424199582016
max,2.2995473332597873,2.286193708325021,1.798522979593655,1.0348306597206747
