,RCT/CP,RCT/PT
mean,1.5598883399536758,0.725721948047184
std,0.40983918293606497,0.014020057538077908
min,0.5438191135110257,0.6880595009031379
25%,1.3330357295136945,0.7164865123739079
50%,1.5958174399479996,0.7247806438546847
75%,1.867441283438666,0.7365183997171184
max,2.4266837677257183,0.7613714361443603
