,ROA,ROE
mean,0.05288920492304588,0.08388730891252943
std,0.040518968208199585,0.059103471081478454
min,0.0054116500592300415,0.006044928644848255
25%,0.018902966074220207,0.026997199911802643
50%,0.04825600606735092,0.10152742560284769
75%,0.08519985953159348,0.12515046979191935
max,0.11446139724642901,0.16391763531713782
