Rentabilidade,Teste,Estatística,Valor p
ROA,Teste t,4.6858228637760435,2.251320195605033e-05
ROA,Teste H,18.209959495220428,1.9784156502010115e-05
ROE,Teste t,12.636973416232166,4.9205866030902654e-17
ROE,Teste H,69.81203782823675,6.523355595507417e-17
