,Corrente,Seca,Imediata,Geral
mean,1.8025222201447186,1.792797871310907,1.3033592000619127,0.9133710432852096
std,0.10468818501031787,0.1025695880388996,0.0867978702813477,0.02339499919642078
min,1.473297723862002,1.5129540482103954,1.0004617191122986,0.8414149636680401
25%,1.730807765391249,1.7186363664392856,1.244875299668569,0.8969370891439185
50%,1.8003023865515098,1.7959923376828932,1.3001137060327803,0.913290115526679
75%,1.8772334323199098,1.8622405890093647,1.3610097244359873,0.9301842906667311
max,2.1843557469257764,2.0801552561925813,1.5949582113448926,0.9766777203823777
