DT_REFER,Corrente,Seca,Imediata,Geral
2017Q1,1.9308399860532817,1.6073815598963765,0.6354578218621105,0.833165667427359
2017Q2,1.8640370175666487,1.492394124719235,0.5775532993019007,0.8064211549091711
2017Q3,1.9021243576779123,1.4913056162343932,0.5079507881298064,0.839532311559809
2017Q4,1.4959868530574147,1.1717472390462313,0.37631000022319044,0.7919962996586059
2018Q1,1.6403578112485062,1.218384290121069,0.5837906884332561,0.7854710960184861
2018Q2,1.8424677146182447,1.3934438325229637,0.8015651683562449,0.847844927491891
2018Q3,1.8135496443146255,1.3801298691557917,0.8111421198437271,0.8534075447413304
2018Q4,1.9945973917687545,1.5265015342569443,0.9711888994262862,0.9039241623521864
2019Q1,1.245050274930736,0.8185189242562227,0.3973886463066541,0.7532454463853384
2019Q2,1.301756566156591,0.8938457604049258,0.4805975466247634,0.7598134731056578
2019Q3,1.3972192781626742,1.0215267009533178,0.6280425343213951,0.7969281227860429
2019Q4,1.2728501429305101,0.9447082806006669,0.5460088551149759,0.7565962210572188
2020Q1,1.6411287843583158,1.2969806977498795,0.93661975298756,0.8540882719454062
2020Q2,1.7476501225023011,1.3951965126273649,1.0225392202346175,0.8762089189862976
2020Q3,1.597742791651632,1.2058712649473262,0.7984961956661498,0.8472247809148129
2020Q4,1.6953274319648368,1.394509903830423,0.9131449329048102,0.8567801980614278
2021Q1,1.9259003301424473,1.5575754796765517,1.0433118242834725,0.9094110463088197
2021Q2,1.8531062855360554,1.4978632549176112,0.9713421422198741,0.9137344398153275
2021Q3,1.442505181314745,1.1058956282781425,0.7971874534430448,0.79475501158736
2021Q4,1.6047482499881236,1.2953276890264864,0.8613593630252031,0.8459698038641578
